"companySize","empPrimTech","empProvideMHB","knowMHB","empDiscMH","empResourceMH","anonProtected","askLeaveDiff","negConsDiscMH","negConsDiscPH","coworkComfMHD","superComfMHD","empSeriousMH","heardNegConsMH","discInterviewPH","explanationPH","discInterviewMH","explanationMH","hurtCareerMH","teamNegMH","observeBadResponseMH","diagnosedWithMHD","age","gender","country"
"26-100",1,4,3,1,1,1,3,1,1,1,2,3,2,1,"",2,"No need to disclose so early as it may not be an issue. Don't want to give them a reason not to pick me!",1,2,2,"Yes",27,"Female","United Kingdom"
"1-5",1,2,1,1,1,1,4,1,2,1,1,1,1,3,"Perceived poorly",2,"Bias",3,4,2,"No",43,"F","United States of America"
"100-500",1,4,4,1,1,1,6,3,1,1,1,3,1,1,"I would expect an unconscious bias against someone whose employment involves extra risk of medical leave, accommodations, or expense. Even an employer with the best intentions might unintentionally favor the ""easier"" hire.",2,"Stigma.",3,2,1,"Yes",23,"Male","United States of America"
"100-500",1,3,4,1,1,1,4,2,1,1,2,3,1,1,"",2,"",3,1,2,"No",25,"non-binary","Canada"
"26-100",1,3,2,2,1,2,3,2,2,1,2,3,2,1,"seems wrong",2,"No one wants to hire a crazy person",5,3,3,"Yes",30,"male","United States of America"
"More than 1000",2,3,3,2,3,1,2,2,1,1,1,1,1,3,"Worried it may affect my chances of getting the job.",2,"Worried it would affect my chances of getting the job.",1,2,5,"No",38,"Male","United Kingdom"
"More than 1000",1,4,3,1,3,1,2,2,2,3,2,2,1,2,".",1,"Mental issues are harder to be discussed with anyone.",1,2,2,"No",45,"m","New Zealand"
"26-100",1,2,3,1,1,1,2,3,1,1,1,2,1,3,"My potential employment should not be contingent on anything the ADA covers.",2,"It would be a weird thing to volunteer in an interview. I wouldn't want a candidate to tell me about any issue, because it puts me in a bad spot if I decline to offer them a job.",3,4,1,"Yes",40,"Female","United States of America"
"More than 1000",2,4,4,1,1,1,4,3,1,3,3,3,1,1,"It depends on the physical health issue. E.g. Bad Knees vs Bad Allergies",2,"Would be afraid that it would negatively affect my potential as a hiring candidate.",3,4,4,"Yes",30,"Man","United States of America"
"26-100",1,4,3,1,1,1,2,2,2,3,3,3,1,1,"",1,"",1,1,3,"Yes",46,"m","United Kingdom"
"More than 1000",2,1,1,1,2,1,4,3,1,3,3,3,1,1,"",1,"",3,4,2,"No",41,"male","United Kingdom"
"More than 1000",2,2,4,1,1,1,1,1,1,1,1,1,1,2,"Don't see it as a problem for me",1,"Stigma",1,1,1,"No",44,"Male","Sweden"
"More than 1000",1,3,3,1,3,2,1,2,1,1,1,3,1,1,"Shouldn't generally be relevant",1,"Shouldn't generally be relevant",1,2,1,"Yes",38,"Male","Ireland"
"6-25",1,3,3,1,1,2,1,3,3,3,3,2,1,3,"They might call it a ""culture fit"" issue",2,"It might be considered a sign of being incompetent or incapable of handling the job",3,4,4,"Yes",22,"Female","United States of America"
"26-100",1,4,3,1,1,2,2,1,1,1,2,2,1,3,"",2,"",1,2,1,"No",31,"male ","Germany"
"6-25",1,3,2,1,2,2,1,1,1,1,1,2,1,2,"My physical health issues are obvious from my appearance.",2,"It would be judged as a risk.",3,2,3,"Yes",27,"Male","United States of America"
"More than 1000",1,3,2,1,2,1,3,2,1,1,1,1,1,3,"I've always been coached that it's not appropriate to discuss anything like that, as it may adversely impact the interview.",2,"See above",1,2,3,"Yes",40,"Female","United States of America"
"6-25",1,4,3,1,3,1,2,1,1,2,1,1,1,3,"Although illegal, I wouldn't want a physical health issue to weigh on someones mind when they make the decision whether or not to hire me.",2,"Although illegal, I wouldn't want a mental health issue to weigh on someones mind when they make the decision whether or not to hire me.",1,1,5,"No",25,"Male","United States of America"
"26-100",1,4,4,1,1,1,5,2,1,1,2,3,1,2,"",2,"Mental health is still viewed as a taboo.",3,2,1,"No",41,"Male","Canada"
"More than 1000",1,3,2,3,2,2,6,2,2,1,2,2,1,3,"Fear of discrimination",2,"Fear of discrimination",3,2,4,"Yes",43,"female","United States of America"
"6-25",1,1,1,1,1,3,2,1,1,1,2,2,1,1,"if it wasn't relevant",1,"if it wasn't relevant",2,1,5,"No",24,"Male","United Kingdom"
"100-500",2,3,3,1,1,1,3,3,2,3,2,3,2,3,"Bias happens. I wouldn't want it to be a factor. However, I'm overweight, and I know it's been a factor in some interviews. Can't hide that. Even though that is the only thing I have wrong with me.",2,"If I was mentally unstable or unable to work regular hours, I could bias my own interview with this information.",5,2,2,"Yes",40,"Female","United States of America"
"1-5",1,3,2,1,1,1,5,2,1,1,2,1,1,3,"Like all interviews, I feel like not putting your ""best foot"" forward puts you at a disadvantage.",2,"I feel like this would put you out of the running for a position almost immediately. Or at least be used as a negative mark against you.",3,2,4,"Yes",33,"Male","Canada"
"100-500",1,3,2,1,1,1,6,1,1,1,2,1,1,3,"Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).",2,"Personal health issues don't belong in the interview process, as it inherently makes the interview particularly hostile to the interviewee and their organization (because HR law, especially as relating to anti-discrimination, is a thing).",2,1,1,"Yes",28,"Male","United States of America"
"1-5",1,3,4,1,1,1,2,2,1,2,1,1,1,1,"Depends whether it would affect my ability to carry out the job.",2,"Stigma.",5,5,3,"Yes",30,"female","United Kingdom"
"26-100",1,3,4,1,2,1,1,1,1,1,1,2,1,2,"I have an issue and always bring it up",3,"I never surprise my boss",3,1,1,"No",53,"m","United States of America"
"26-100",2,4,3,1,3,1,5,2,1,3,2,1,1,2,"Because it might affect my ability to get to the office in the future.",2,"Because of the stigma involved. I don't want them to think that I would not be able to do my job regardless of my physical condition.",3,2,5,"No",27,"female","United States of America"
"100-500",2,3,3,2,3,1,6,2,1,2,2,1,1,1,"Maybe if it related to my work",1,"There's a stigma, so I'd probably leave it out if I could.",1,4,1,"Yes",36,"male","United States of America"
"100-500",1,4,4,1,1,1,2,2,1,2,2,1,1,1,"Some physical issues can be private too.",2,"That would be job suicide.",1,1,5,"No",34,"Male","Canada"
"100-500",2,2,4,2,1,2,5,3,2,2,1,3,2,1,"Prejudice",1," Personal",1,2,3,"No",74," Female","United States of America"
"More than 1000",2,4,4,3,2,1,6,3,2,3,3,1,1,3,"Less likely to get the job",2,"Less likely to get the job.",3,4,1,"No",39,"Female","United States of America"
"More than 1000",1,1,4,3,3,1,1,1,1,1,2,1,1,3,"I don't feel that its relevant to my getting hired",2,"I don't feel like it's relevant to getting hired",2,1,1,"No",20,"Male","United States of America"
"100-500",1,3,2,2,2,2,2,2,1,1,1,1,2,1,"Depends on relevance to work ",2,"Too personal ",3,2,2,"Yes",37,"Male","United States of America"
"26-100",1,1,1,1,1,1,3,2,1,1,2,1,1,1,"",2,"",1,2,4,"No",22,"Male","Netherlands"
"500-1000",1,4,4,2,2,1,6,3,2,3,2,3,1,3,"",2,"",3,4,2,"Yes",33,"Enby","United Kingdom"
"More than 1000",1,3,3,2,2,1,4,2,1,3,3,1,2,3,"If it's an obvious disability, then there's no need to bring it up. If it's not obvious, then it isn't their concern.",2,"There's a definite stigma around mental health issues. It seems like one would be disqualified immediately.",3,4,2,"Yes",30,"male","United States of America"
"More than 1000",1,3,3,1,2,2,2,3,3,1,1,3,2,2,"If it would potentially affect my ability to do the job or might require special equipment/etc then it would only be fair and honest.",1,"It would depend on the field & what I knew of the employer.",3,2,3,"No",42,"Male","United Kingdom"
"More than 1000",2,3,2,1,1,2,5,3,3,3,3,3,1,3,"",2,"",3,4,4,"Yes",39,"Female","United States of America"
"More than 1000",1,3,4,1,2,1,6,3,1,3,3,1,1,3,"They would rather hire me someone who isn't sick",2,"Same reasons, I'll cost more, be less productive",3,4,3,"Yes",23,"Female","Ireland"
"6-25",1,4,3,3,2,2,1,1,1,1,2,2,1,1,"",1,"",2,1,1,"No",39,"m","Canada"
"26-100",1,3,2,1,3,1,1,2,1,1,2,2,1,3,"Unless it would directly effect my performance in the position, the condition would not be relevant.",2,"Due to lack of understanding, without bias, how a treated mental health issue could effect work.",5,2,2,"Yes",39,"male","United States of America"
"26-100",1,2,2,2,1,3,6,2,1,1,1,2,1,1,"May not get the job depending on the physical issue. ",2,"I'd explain too explicit which would deem me unproductive in their eyes. It would be better to choose a more stabe individual. ",3,4,2,"Yes",30,"Male","United States of America"
"26-100",1,4,3,1,1,2,2,1,1,1,2,1,1,2,"If it's going to affect my role, I should bring it up.",1,"Now you've got me...! I think not previously knowing said interviewers would dissuade me, not knowing how it would affect my outcome, although I would know that I should be addressing it with them.",1,5,1,"No",30,"Male","United Kingdom"
"More than 1000",1,3,2,1,2,1,5,2,2,1,1,2,1,1,"I understand that, while they might consciously not act differently if I had a physical issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.",2,"I understand that, while they might consciously not act differently if I had a mental health issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.  Furthermore, there's a huge stigma behind it.",1,1,3,"Yes",36,"Male","United States of America"
"1-5",1,3,4,1,1,1,4,2,1,2,2,2,1,2,"To check that support/equipment could be provided.",2,"Too afraid of doing so.",3,4,2,"Yes",33,"Male","Finland"
"More than 1000",2,1,3,1,1,1,5,1,1,2,1,1,1,3,"I feel like bringing up a physical health issue would be a mark against me getting the job. If they had the choice between myself and another candidate that didn't mention a health issue, I feel they would take the other candidate.",2,"I feel like bringing up a mental health issue would be a mark against me getting the job. If they had the choice between myself and another candidate that didn't mention a health issue, I feel they would take the other candidate.",1,1,1,"Yes",28,"male","United States of America"
"26-100",1,3,3,1,1,2,5,2,1,1,2,1,1,1,"I think it would depend on the job requirements and the limitations my physical health would have on carrying out my duties.",2,"Unless I felt comfortable or knew how the employer felt about mental health, I most likely wouldn't feel ready to disclose that information that early on.",1,4,5,"No",25,"Female","United States of America"
"6-25",1,2,4,1,1,1,6,2,1,1,3,3,1,1,"I would only bring it up if the issue would affect my job. Or only if it might affect my job within 3-6 months.",2,"With the best will in the world an employer will not see it as a positive even if it's not direct discrimination.",1,2,2,"No",36,"Male","United Kingdom"
"1-5",1,4,3,2,3,2,1,1,1,2,1,2,1,2,"It would be important that both I and my employer understand the requirements demanded by physical health issues.",1,"I might not bring up a mental health issue if it did not have any affect on my current work.",1,1,1,"Yes",23,"Male","United States of America"
"26-100",1,3,2,1,1,2,1,1,1,1,1,2,1,1,"For physical health issues that may not impact my  daily job, I don't feel the need to divulge them to a prospective employer.",2,"I feel uncomfortable discussing such issues with someone I've just met.",1,1,1,"No",37,"Male","United States of America"
"26-100",1,4,3,1,3,1,5,2,1,1,2,3,1,1,"It depends on the issue and how I feel like the employer is likely to respond.",2,"I feel like they'd not hire me because of it. They'd come up with some BS excuse but I'd suspect it'd be because of the mental health issue.",2,2,5,"No",28,"Male","United States of America"
"26-100",1,4,3,1,2,1,1,2,1,2,1,2,1,1,"Comfort discussing personal issues with someone who I've presumably only recently met.",1,"Comfort discussing personal issues with someone who I've presumably only recently met.",1,2,1,"No",27,"Male","United States of America"
"100-500",1,2,4,1,2,1,2,2,1,3,3,1,2,3,"I don't think is the place nor the time for this",2,"same as before",3,4,1,"No",33,"Male","Germany"
"1-5",1,3,4,1,1,1,5,3,1,1,3,3,1,1,"If it were an issue that could be helped by an accommodation, but didn't rise to the level of a protected disability, and having the accommodation or not would swing my decision to work at the company",2,"hard to imagine it ever going well. all but the most progressive people see mental health issues as less ""real"". better to frame needs (like sleep, nutrition, doctors appointments) as required to protect physical health in some vague way",3,1,1,"Yes",23,"male ","United States of America"
"6-25",1,4,3,2,2,2,1,1,1,1,1,2,1,2,"",1,"",1,1,1,"No",22,"female","United States of America"
"More than 1000",2,3,2,2,1,2,5,2,1,1,1,3,1,2,"It wouldn't have a bearing on my employability.",1,"I feel it could have a bearing on if I got an offer of employment even though it is illegal to discriminate based on mental health issues. ",1,2,1,"No",41,"male","United States of America"
"100-500",1,3,2,1,1,1,6,1,1,1,1,1,1,1,"I'm a private person in general, I may not bring it up.",1,"I'm a private person in general, I may not bring it up.",5,2,3,"No",34,"Male","United States of America"
"More than 1000",2,3,4,2,2,1,1,1,1,2,1,2,1,1,"It depends on the issues and the type of job.",1,"It depends on if I thought the issues would impact my ability to get a job I desired.",1,5,1,"No",49,"Male","United States of America"
"6-25",1,2,3,2,1,1,5,3,2,3,1,3,1,3,"",2,"",3,1,1,"Yes",27,"Male","India"
"100-500",1,3,4,1,1,1,2,2,1,3,2,1,1,1,"I think it could lead to not being hired.",2,"I think it would definitely lead to not being hired.",1,2,2,"No",41,"Female","United States of America"
"6-25",1,2,1,2,1,2,1,1,1,1,2,1,1,3,"If I felt it would reduce my chance of getting the job and at the same time it would not impede my ability to *do* the job, I wouldn't mention it.",2,"Same reason, if I felt it would reduce my chance of getting the job and at the same time it would not impede my ability to *do* the job, I wouldn't mention it.",1,1,2,"No",38,"Male","France"
"More than 1000",2,3,2,2,2,2,3,1,2,1,3,2,1,1,"The interviewer might be uninformed as to the impact of my disability on my ability to do the job.",2,"There is a stigma surrounding mental health issues.  I must trust someone before sharing that info.",1,2,2,"Yes",54,"Female","United States of America"
"26-100",2,4,4,2,2,1,5,2,1,1,3,2,1,1,"",1,"",1,2,1,"No",28,"Male","Finland"
"26-100",1,3,2,1,2,2,4,3,2,1,2,3,1,2,"I'm hard of hearing which is important to mutually understand in the interview process. Also is a good test of being accommodating or not. ",2,"",1,1,3,"Yes",26,"Female","United States of America"
"26-100",1,4,3,2,2,2,1,1,1,1,2,2,1,3,"Because it can be seen as a weakness and they may chose another applicant over me because of it.",2,"Because it can be seen as a weakness and they may chose another applicant over me because of it.",2,1,1,"Yes",24,"Female","United States of America"
"6-25",1,2,3,1,1,1,3,2,2,1,2,1,1,1,"Could impact their willingness to hire, even subconsciously.",2,"Stigma.",3,2,2,"No",37,"male","United States of America"
"100-500",1,4,3,3,3,1,1,1,1,2,1,1,1,1,"I would bring it up if I found it relevant for my ability to do my job. Otherwise I would not.",1,"I would bring it up if I felt it would impact my ability to do my job.",1,2,5,"No",31,"Male","Sweden"
"More than 1000",1,3,2,2,2,3,4,3,1,1,3,3,1,3,"Cultural bias and potential elimination from consideration.",2,"Feel it would prevent hire. Only if asked point blank.",3,4,2,"Yes",49,"Male","United States of America"
"100-500",2,3,2,2,1,2,5,2,2,3,2,2,1,2,"",2,"",1,4,2,"No",24,"Male","United States of America"
"More than 1000",2,3,2,3,2,2,2,2,1,1,1,1,1,3,"I don't feel that it is their business and although they should not take it into consideration when hiring, let's be honest, they do.",2,"Same as physical: I don't feel that it is their business and although they should not take it into consideration when hiring, let's be honest, they do.",1,2,1,"No",34,"Female","United States of America"
"6-25",1,2,4,1,1,3,5,3,2,3,3,3,1,3,"I'd feel that it'd make me less apt for the job I'm applying in comparison to others.",2,"I'd make me look weaker and less apt.",3,4,2,"No",26,"Male","Chile"
"100-500",2,3,2,1,2,2,6,3,1,1,1,1,1,1,"Many physical health issues are obvious and not addressing them is therefore obvious. ",1,"Mental health issues have a negative stigma. ",3,2,5,"No",32,"Female","United States of America"
"6-25",1,2,1,1,1,2,1,1,1,2,1,2,1,2,"I have a (small) physical disability which sometimes affects my work. I guess it's an effective litmus test of the prospective employer's culture.",3,"If a prospective employer is unable to answer questions about their mental health services then you probably don't want to work there. That said, I acknowledge that that's a fairly privileged position to take and many people don't have that choice.",5,1,3,"Yes",38,"Male","New Zealand"
"100-500",2,4,4,1,3,1,6,2,1,1,1,1,1,2,"Typically more common and, in my eyes, physical health issues do not have a stigma attached to them like many mental health issues. Any kind of mental health issue tends to leave a lot of people ending up with some sort of 'label'.",1,"I'd be concerned that if I mentioned my generalised anxiety issues it may lead them to believe that I am not a confident worker (which I almost certainly am). Basically - I'd fear they wouldn't properly understand! A lot of people are incredibly ignorant to anxiety and just end up telling you 'not to worry' about parts of your day to day that may make one feel anxious etc.",2,2,1,"No",24,"Male","United Kingdom"
"100-500",1,4,4,1,1,1,1,1,1,3,3,1,1,3,"Seems irrelevant and embarrassing",2,"Seems irrelevant and embarrassing",2,1,2,"No",31,"male","Germany"
"More than 1000",1,1,1,2,2,2,1,1,1,2,1,2,1,2,"",3,"",1,2,3,"Yes",30,"Male","Australia"
"26-100",1,3,4,1,2,2,1,1,1,2,1,2,1,3,"if wasn't current, feel that it isn't relevant",2,"if not current, then feel it's not relevant.",2,1,1,"No",47,"female","United States of America"
"500-1000",1,3,2,1,3,2,3,1,1,1,1,1,1,1,"Yes, If relevant to the duties of the position. Otherwise, not necessary. ",1,"Less likely, simply because the general perception and knowledge about mental illnesses is less widely understood. For instance, Adult ADD might be simple to explain, whereas Bipolar II would be a longer discussion and may be avoided in an interview.",1,2,1,"No",35,"Male","United States of America"
"More than 1000",1,3,4,3,2,1,5,2,2,2,1,2,1,3,"Fear it would negatively bias myself",2,"Fear it would negatively bias me",1,2,1,"No",30,"Male","United States of America"
"More than 1000",2,3,3,1,2,2,1,1,1,1,2,1,1,3,"It isn't something they should use to determine if I'm a good candidate for the job",2,"It isn't a reason they should use to determine if I'm qualified for the job",1,1,4,"No",35,"male","United States of America"
"1-5",1,2,1,3,3,1,5,1,1,3,2,1,1,1,"If I was desperate for the job, I would not want to jeopardize my candidacy. On the other hand, if the health issue was very serious and could interfere with the responsibilities of the position, I feel that the employer should probably know about it.",1,"If I was desperate for the job, I would not want to jeopardize my candidacy. On the other hand, if the health issue was very serious and could interfere with the responsibilities of the position, I feel that the employer should probably know about it.",1,2,2,"No",28,"Male","Canada"
"26-100",1,4,3,1,3,1,5,2,1,3,3,3,1,2,"Companies are more equipped to accommodate physical health issues and it looks bad if they don't. ",2,"I don't think companies are able or willing to deal with a mental health issue. I feel like bringing it up Cottle negatively affect the decision to hire me. ",1,2,1,"No",33,"Male ","United States of America"
"More than 1000",2,3,2,2,2,2,1,2,1,1,1,1,1,1,"",1,"Na",2,1,1,"Yes",49,"F","United States of America"
"6-25",1,4,4,1,1,2,2,3,3,2,1,3,1,3,"I feel that an interview is not enough time for an employer to make a rational judgement about whether or not the candidate can still do the job they're asking. I would not disclose my mental health condition to employers during an interview but perhaps prior to accepting an offering.",2,"Same as above,",3,2,3,"Yes",31,"male","United Kingdom"
"26-100",1,2,3,1,1,1,5,3,1,1,2,3,2,3,"It _could_ way into being hired, instead of skills",2,"It _could_ way into being hired, instead of skills",1,2,2,"No",27,"Male","Netherlands"
"100-500",1,3,4,1,3,1,6,3,2,1,3,1,1,3,"i currently do not have any physical issues. ",2,"the stigma of mental illness and how i fear it would impact the job.",1,2,2,"No",35,"m","United States of America"
"100-500",1,3,2,1,3,1,6,2,1,1,1,3,1,3,"can't imagine this making my desired outcome more likely",2,"pretty sure this would not work out in my favor",3,2,2,"Yes",36,"m","United States of America"
"More than 1000",2,3,3,1,1,1,3,1,2,3,3,1,1,3,"I would not bring up a physical health issue in an interview because I believe it would hinder my possibility of getting the job.",1,"I would not bring up a mental health issue, but if they brought it up, I would talk about it.",3,2,1,"No",19,"Female","United States of America"
"More than 1000",2,2,1,1,1,1,2,1,1,2,2,2,1,1,"Non of his/her business",2,"Non of his/her business",2,1,2,"Yes",33,"male","Germany"
"More than 1000",2,3,2,1,3,1,5,3,2,1,2,3,1,1,"",1,"",3,4,2,"Yes",35,"Male","United States of America"
"1-5",1,2,4,1,1,3,5,2,2,3,3,1,1,1,"Worried about how they will look at me after",2,"Cos I would really want the job they might get employ someone with mental health issues",3,4,1,"No",22,"Male","United Kingdom"
"6-25",1,3,2,3,2,1,2,2,2,1,2,3,1,3,"Seems like it would deter them from hiring me.",2,"Seems like it would deter them from hiring me.",3,4,3,"Yes",33,"male","United States of America"
"100-500",2,3,2,2,2,2,1,1,2,1,1,3,2,3,"Why? It should make no difference.",2,"It would certainly affect the outcome of the interview.",1,2,1,"Yes",51,"M","United States of America"
"26-100",1,3,3,1,3,2,1,1,1,1,1,2,1,2,"It's good to be upfront about everything.",3,"It's no different from a physical health issue. If it can potentially affect my performance then I should be clear.",2,1,2,"No",36,"Male","United Kingdom"
"More than 1000",1,2,3,1,1,1,1,2,2,3,3,3,1,3,"Retaliation",2,"Retaliation",3,4,1,"Yes",28,"male","Brazil"
"26-100",1,3,3,1,1,2,2,2,1,3,3,1,1,1,"If it prevents me from performing in certain aspects of the job, I think the interviewer needs to know.",2,"No idea, that's not something I'd be comfortable dealing with. It's essentially as if I told them I may or may not act like a retard some day, but it ain't my fault, it's XYZ disease's fault. :-)

Not a very good pitch to sell yourself",1,2,2,"Yes",23,"M","Canada"
"26-100",1,4,4,1,3,1,5,3,1,1,1,3,1,2,"I'd need to ensure that I could manage my back pain on a long term basis with a new employer without any issue in doing so.",2,"I would be certain that nobody would want to hire someone with a mental health issue. ",3,4,1,"Yes",33,"Male","United Kingdom"
"100-500",1,2,4,1,1,1,5,3,1,1,2,3,1,3,"Unless applying for something that required specific physical skills, I don't believe physical health should be a factor in an interview.",2,"A perception/assumption of automatic and immediate disqualification. ",3,4,2,"No",45,"male","United States of America"
"More than 1000",2,3,2,2,2,2,1,3,2,3,3,2,1,1,"They may not hire me thinking I might take time off from work. ",2,"Supervisors don't like to deal with those sort of issues.",3,4,1,"No",55,"F","United States of America"
