"companySize","empPrimTech","empProvideMHB","knowMHB","empDiscMH","empResourceMH","anonProtected","askLeaveDiff","negConsDiscMH","negConsDiscPH","coworkComfMHD","superComfMHD","empSeriousMH","heardNegConsMH","discInterviewPH","explanationPH","discInterviewMH","explanationMH","hurtCareerMH","teamNegMH","observeBadResponseMH","diagnosedWithMHD","age","gender","country"
"26-100",1,4,4,1,1,1,2,1,1,1,1,2,1,2,"I want to gauge their ability to support this issue.",3,"I want to gauge their ability to support, understand and empathize with my situation.",3,1,1,"No",30,"M","United States of America"
"26-100",2,4,4,1,1,1,4,3,3,2,2,3,1,1,"Makes me a less attractive candidate.",1,"Only if I felt I required accommodation. Even then, reluctantly because it makes me a less attractive candidate.",1,3,4,"Yes",44,"Female","United States of America"
"500-1000",1,2,4,1,1,1,6,2,1,2,2,3,1,3,"",2,"",1,2,2,"No",34,"Male","United Kingdom"
"More than 1000",2,3,4,2,3,1,2,1,1,1,1,1,1,3,"I don't have any",2,"I don't have any",1,2,1,"No",35,"male","United States of America"
"26-100",1,3,2,1,1,1,1,2,2,1,3,1,1,1,"depends on the illness",1,"",1,1,1,"No",25,"male","Germany"
"1-5",1,3,2,1,1,1,5,2,1,1,2,1,1,3,"Like all interviews, I feel like not putting your ""best foot"" forward puts you at a disadvantage.",2,"I feel like this would put you out of the running for a position almost immediately. Or at least be used as a negative mark against you.",3,2,4,"Yes",33,"Male","Canada"
"100-500",2,3,2,3,2,2,1,1,1,1,2,2,1,1,"",1,"",1,1,2,"No",42,"male","Germany"
"26-100",2,2,4,1,1,1,4,3,3,3,3,3,1,3,"I'm afraid I wouldn't be hired for the job, even when the physical issue would not have been relevant for my work.",1,"Same reason as above.",3,4,2,"Yes",27,"Male","Netherlands"
"100-500",1,4,4,1,1,1,5,1,1,3,3,1,1,1,"",2,"",3,4,2,"No",35,"male","Germany"
"6-25",1,1,1,1,1,2,2,1,1,2,1,2,1,3,"I wouldn't want to be judged against someone healthy",2,"See above",3,4,4,"Yes",32,"Bigender","United Kingdom"
"More than 1000",1,4,3,1,1,1,1,2,1,3,2,3,1,3,"It doesn't have any bearing on my ability to accomplish the job when properly coped with.",2,"Again, when properly coped with it shouldn't affect my ability to do the job. I expect, as with physical health issues, I'll be allowed time needed when coping is necessary.",1,2,1,"No",31,"Male","United States of America"
"26-100",1,3,3,1,3,2,1,1,1,1,1,2,1,2,"It's good to be upfront about everything.",3,"It's no different from a physical health issue. If it can potentially affect my performance then I should be clear.",2,1,2,"No",36,"Male","United Kingdom"
"26-100",1,3,3,1,2,2,1,1,1,2,2,2,1,2,"These days I'm more comfortable expressing anything that could be a factor in getting work done. It helps me screen employers: if anything is an insurmountable problem for them, then it is clearly not a place I want to work.",3,"Same answer as for physical health issues, though admittedly I'm a little slower to bring up mental health concerns due to stigma fears.",1,2,3,"Yes",44,"Male","United States of America"
"More than 1000",1,3,2,3,3,1,3,2,1,2,1,1,2,2,"The employer needs to know that I would need support in order to do my best work for them",3,"Because my employer needs to support me in order to get the best work possible from me",1,2,4,"No",44,"Male","Canada"
"More than 1000",2,2,3,1,1,3,5,2,1,3,3,3,1,3,"",2,"",3,4,1,"No",41,"Male","United States of America"
"6-25",1,4,4,1,3,1,6,2,1,3,2,1,1,1,"If the issue would impact my performance without some form of concessions/consideration on the party of the employer, I would, otherwise I wouldn't. ",1,"There's likely nothing they could do to mitigate any performance problems as a result of a mental health issue, so I probably wouldn't discuss. ",1,2,1,"No",45,"Male","United States of America"
"6-25",1,3,2,1,1,2,1,1,1,2,2,1,1,3,"None of their business",2,"Not related to my qualifications or skills",1,2,1,"Yes",37,"F","United States of America"
"500-1000",2,3,2,1,1,1,6,2,1,1,2,1,1,1,"Because, if it were a physical health issue that might affect my job performance, it'd be difficult to hide and a potential might resent the fact that I wasn't forthcoming about it in an interview.",2,"Because, if it were a mental health issue that might affect my job performance, it may be easy to hide, while being forthcoming about it might impact my likelihood to get the job in the first place.",3,2,1,"Yes",34,"Male","United States of America"
"100-500",2,3,2,1,3,2,5,2,1,1,1,3,1,2,"",2,"",3,2,2,"No",32,"Male","Canada"
"26-100",2,1,1,1,1,1,4,3,1,3,2,3,1,2,"If it were relevant to the role I would mention it",1,"If it would have a direct impact on my ability to perform the role I would feel compelled to mention it, but depending on how understanding I expected the employer to I might not, due to the negative consequences. ",3,4,2,"Yes",27,"Male","United Kingdom"
"26-100",1,3,2,1,1,1,2,1,1,2,1,1,1,1,"",1,"",1,1,4,"No",30,"Male","United States of America"
"6-25",2,2,2,1,1,1,5,2,1,1,2,3,2,2,"",2,"",3,4,3,"Yes",35,"female","United States of America"
"More than 1000",1,3,3,2,2,1,3,2,2,3,3,1,1,2,"",2,"Interviews are largely about knowledge / mental capacity. Could be seen as a weaker mental capacity.",3,4,4,"Yes",29,"M","United States of America"
"26-100",2,2,2,1,3,2,1,1,1,3,1,2,1,3,"It should not effect they way how I work. So it should not have any negative things for the new boss",2,"It should not effect they way how I work. So it should not have any negative things for the new boss",1,4,1,"Yes",27,"Male","Netherlands"
"100-500",1,3,3,1,3,1,3,1,1,1,2,1,1,2,"To be honest I guess and not to end up with suprises",1,"Might have negative influence on getting a job or not",1,2,1,"No",28,"male","Belgium"
"26-100",1,3,2,1,1,2,1,1,1,1,1,2,1,1,"For physical health issues that may not impact my  daily job, I don't feel the need to divulge them to a prospective employer.",2,"I feel uncomfortable discussing such issues with someone I've just met.",1,1,1,"No",37,"Male","United States of America"
"26-100",1,2,1,1,1,1,1,1,1,1,1,1,1,1,"",2,"Don't know, feeling",1,1,1,"No",41,"Male","Netherlands"
"6-25",1,4,3,1,1,3,2,1,1,2,2,2,1,1,"depends if it is relevant. If it's none of their business, then not.",1,"It's a weakness; and you mostly want to talk about your strenghts",1,1,1,"No",38,"F","Netherlands"
"26-100",1,4,3,1,3,1,5,2,1,3,3,3,1,1,"",1,"I would be worried that it might affect my job application even though I am aware that they are not legally allowed to do so. However, it would be difficult to determine / prove if that was the case or not.",5,3,3,"Yes",35,"Male","United Kingdom"
"26-100",1,4,3,2,2,2,1,1,1,1,2,2,1,3,"Because it can be seen as a weakness and they may chose another applicant over me because of it.",2,"Because it can be seen as a weakness and they may chose another applicant over me because of it.",2,1,1,"Yes",24,"Female","United States of America"
"More than 1000",1,3,2,3,2,1,3,2,2,1,2,1,1,3,"bias",2,"bias",3,4,1,"Yes",35,"male","United States of America"
"6-25",1,2,1,2,3,1,3,1,1,1,1,2,1,2,"Transparency",1,"Stigma",1,2,2,"No",26,"Male","United Kingdom"
"6-25",1,2,1,1,1,1,5,3,1,3,1,3,2,2,"Starting a job hiding something like this can be a really bad way to get the trust of the employees. ",3,"Same response as the physical one.",1,4,4,"No",17,"male","Brazil"
"26-100",1,4,3,2,3,2,6,1,1,3,3,2,1,1,"I've never been in a situation like this so it's hard to say. My answer might be different depending on the exact health issue.",1,"Again it's not a situation I've experienced so I think it would depend on the health issue and how comfortable I was with the potential employer.",1,1,1,"No",46,"M","United States of America"
"100-500",1,3,2,1,1,1,5,2,1,1,1,3,1,3,"Unless it impacted my job I wouldn't ",2,"They wouldn't hire me",1,2,1,"Yes",28,"Female","United States of America"
"6-25",1,4,3,1,1,1,3,1,1,2,1,1,1,2,"If it's relevant to the position ",3,"If it was relevant to the position. ",1,2,1,"No",30,"Male","United States of America"
"26-100",1,4,3,3,3,1,1,2,2,3,3,1,1,3,"I prefer to use the interview as an opportunity to learn more about a potential employer and to showcase my skills.",2,"Same answer as before. I prefer to use an interview as an opportunity to learn more about a potential employer and to showcase my skills. I wouldn't want to waste that valuable time on the minutiae of my health.",3,4,1,"No",28,"fm","United States of America"
"26-100",1,2,3,1,1,1,5,3,1,1,2,3,2,3,"It _could_ way into being hired, instead of skills",2,"It _could_ way into being hired, instead of skills",1,2,2,"No",27,"Male","Netherlands"
"26-100",1,3,2,1,1,1,5,2,1,1,3,3,1,1,"if it were serious, I'd worry that it would prevent my being hired",1,"I don't have anything diagnosed specifically wrt my anxiety and depression.  Sometimes I don't take it as seriously because of that.",1,2,2,"No",39,"f","United States of America"
"More than 1000",1,3,2,1,2,2,6,2,2,1,2,3,1,1,"If it was a protected disability thing, or if it just came up randomly.  Or if it's not a chronic condition.",1,"If I was ""recovered""",1,2,2,"Yes",34,"Female","United States of America"
"100-500",2,4,4,1,3,1,2,1,1,2,1,1,1,2,"I am to the point in my career where if I can't be honest with my employer, then I do not want to work for them.",3,"I am to the point in my career that if cannot be honest with my employer, then I don't want to work for them.",1,2,2,"No",31,"Male","United States of America"
"More than 1000",1,3,3,1,3,1,5,3,1,3,3,1,1,3,"I'd generally be able to cope/work despite physical health issues, but would doubt the interviewer would consider/believe that.  I wouldn't trust them to avoid bias based on health concerns.",2,"Same reasons.  Doubt that interviewer would be able to avoid bias.",3,2,1,"No",32,"Male","United States of America"
"26-100",1,3,2,2,2,2,2,1,1,2,1,2,1,2,"",2,"",1,1,4,"Yes",41,"f","United States of America"
"100-500",1,4,3,1,3,1,3,1,1,1,2,1,1,1,"depends on the nature of the issue. i think it might bias them to look for reasons not to hire me or expect me to be a sub-par contributer",2,"My internalized stigma is way too strong. ",3,2,1,"Yes",39,"F","United States of America"
"26-100",1,3,2,2,3,1,1,1,1,1,1,2,1,1,"Depends on the type of job, if it would affect my work, I would bring it up.",2,"I think there is a general feeling of ""you should be able to manage that"" via some employers and this is not where I would want to test that. I might bring up mental health coverage during an interview though.",1,1,1,"No",24,"Female","United States of America"
"1-5",2,4,4,2,1,1,4,3,2,2,3,1,1,1,"I would if I got the impression it wouldn't count against me/the interviewer seemed empathetic to that scenario, because that condition might likely mean time away from work to address the issue and I would want to know the policies in place for employees with physical health issues, particularly for chronic illness. ",2,"It's a very personal thing, to talk about a mental health issue. It is harder to talk about because it forces me to tell you something that you otherwise might never know, unlike a physical ailment which could be visible or become visible over time without my consenting to share it. ",1,2,4,"No",36,"F","United States of America"
"26-100",1,3,4,1,1,3,2,2,1,3,2,2,1,1,"Depends on what it is. ",2,"I don't want to get passed over. ",3,4,1,"No",44,"Female","United States of America"
"More than 1000",2,4,3,1,3,1,4,2,2,3,2,1,1,3,"Afraid of adding something negative to the balance sheet",2,"Afraid to add something negative to the balance sheet",1,2,1,"Yes",45,"Male","United States of America"
"500-1000",1,2,3,1,1,1,5,3,1,1,1,3,1,2,"It's not a big deal",2,"It carries a stigma",3,2,4,"Yes",30,"male","United States of America"
"More than 1000",2,3,4,1,2,2,6,2,1,1,1,1,1,3,"It is not their concern unless it affects my ability to perform my job",2,"I would be afraid it would jeopardize my chances",3,2,4,"Yes",34,"Male","United States of America"
"26-100",1,3,4,1,3,1,6,1,1,3,2,2,1,1,"Too personal",2,"I think it could negatively impact my candidacy for the position.",1,2,1,"Yes",31,"Male","United States of America"
"26-100",1,4,3,1,3,1,2,1,1,2,1,1,1,2,"I figure it should be part of the conversation. They need all the facts before making a call, in the same ways I need to know if they can adjust for me.",1,"Depends on the issue at hand. Would it affect my performance or would it require adjustments? Then, yes. If not, then I probably wouldn't.",1,1,1,"No",33,"Male","United States of America"
"100-500",1,3,2,1,3,1,5,3,1,3,3,3,1,1,"Because despite all of the laws governing non discrimination, employers will go with what's easiest and come up with a different reason as to why they're not hiring you. Employees are ultimately resources to be leveraged, and companies don't want to get less for their money. ",2,"Never. Absolutely never. This would be stigmatized to hell. ",1,2,2,"Yes",29,"female","United States of America"
"26-100",1,4,4,1,3,1,6,3,2,3,2,1,1,3,"I don't want health issues to affect how I am represented in an interview.",2,"I do not want health issues to effect how I am perceived in an interview.",3,2,2,"No",26,"Female","United States of America"
"500-1000",1,3,4,1,3,1,6,2,1,1,1,2,1,1,"Risk of not getting an offer",1,"Risk of not getting an offer",3,4,2,"Yes",36,"f","United States of America"
"26-100",1,3,3,1,1,3,2,2,1,3,1,2,1,2,"I'm deaf. It'll be obvious soon enough. ",2,"I'm already deaf. I have a lot working against me in the interview process already.  ",3,4,1,"Yes",34,"F","United States of America"
"6-25",1,3,2,1,3,3,2,1,1,2,1,2,1,1,"Any health issue is potentially a liability, so I would hesitate to mention it unless it had direct bearing on the job responsibilities.",2,"As above, but with added stigma that mental health issues are seen as not serious (and therefore bringing it up is itself would be considered a problem), or as incurable and therefore at least as big a liability as a physical problem.",3,2,2,"No",44,"Male","United States of America"
"6-25",1,4,4,1,3,1,5,1,1,2,1,2,1,1,"I'm already very private about personal issues",1,"",2,2,3,"Yes",35,"Genderfluid (born female)","Canada"
"More than 1000",2,3,2,3,2,2,1,1,1,1,1,2,1,2,"",3,"",2,1,1,"Yes",42,"m","United States of America"
"100-500",1,3,4,3,3,1,6,2,1,1,2,1,1,1,"I would bring it up if it was obvious or relevant.",1,"I would be reluctant to bring up a mental health issue for fear that it could reduce my chances of getting the job.",1,2,1,"No",36,"Male","United States of America"
"100-500",1,3,4,1,3,1,2,2,2,2,1,1,1,2,"",1,"",3,1,1,"No",37,"Male","United States of America"
"More than 1000",2,3,2,1,3,1,5,2,2,1,2,2,1,3,"They might think I'm a hypochondriac",2,"They might think I'm a complainer",3,4,2,"Yes",41,"Female","United States of America"
"More than 1000",2,3,2,2,2,2,1,3,2,3,3,2,1,1,"They may not hire me thinking I might take time off from work. ",2,"Supervisors don't like to deal with those sort of issues.",3,4,1,"No",55,"F","United States of America"
