"companySize","empPrimTech","empProvideMHB","knowMHB","empDiscMH","empResourceMH","anonProtected","askLeaveDiff","negConsDiscMH","negConsDiscPH","coworkComfMHD","superComfMHD","empSeriousMH","heardNegConsMH","discInterviewPH","explanationPH","discInterviewMH","explanationMH","hurtCareerMH","teamNegMH","observeBadResponseMH","diagnosedWithMHD","age","gender","country"
"26-100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"",1,"",1,1,1,"Yes",39,"Male","United Kingdom"
"6-25",1,2,2,2,2,2,2,1,1,1,1,2,1,1,"It would depend on the health issue. If there is a health issue that would not immediately affect my job performance, such as diabetes, I would not bring it up during the interview. If it was something more severe, such as narcolepsy, I might bring it up depending on how controlled it was.",2,"While mental health has become a more prominent issue recently, I feel like there is still a lot of stigma surrounding it. At this point, with our culture, I would not bring it up. I hope that within the next 20-30 years that stigma will be gone and it can be brought up safely in an interview.",2,1,1,"Yes",29,"male","United States of America"
"6-25",1,2,1,1,1,1,3,2,1,1,2,1,1,2,"They would provable need to know, to Judge if I can do my job or not. ",3,"Stigma, mainly. ",1,2,2,"No",38,"Male ","United Kingdom"
"6-25",2,3,2,1,1,3,3,3,2,1,3,3,1,1,"Depending on the interview stage and whether I required an accommodation, I would",2,"I don't know",3,2,3,"Yes",43,"Female","United States of America"
"More than 1000",1,3,3,1,2,2,2,3,3,1,1,3,2,2,"If it would potentially affect my ability to do the job or might require special equipment/etc then it would only be fair and honest.",1,"It would depend on the field & what I knew of the employer.",3,2,3,"No",42,"Male","United Kingdom"
"26-100",1,4,4,1,1,1,2,1,1,1,1,2,1,2,"I want to gauge their ability to support this issue.",3,"I want to gauge their ability to support, understand and empathize with my situation.",3,1,1,"No",30,"M","United States of America"
"More than 1000",1,3,2,1,2,2,1,1,1,1,1,1,1,3,"I feel it's irrelevant.",2,"Same reason.",1,2,4,"Yes",37,"female","United States of America"
"26-100",2,4,4,1,1,1,4,3,3,2,2,3,1,1,"Makes me a less attractive candidate.",1,"Only if I felt I required accommodation. Even then, reluctantly because it makes me a less attractive candidate.",1,3,4,"Yes",44,"Female","United States of America"
"26-100",1,3,3,2,2,2,1,1,1,1,1,2,1,2,"Being honest upfront shows respect for the future employer. If they see that as a stumbling block in hiring you, then it probably wouldn't have been a good fit in the long run anyways.",3,"Same reason as above.",2,2,4,"Yes",28,"Male","United States of America"
"100-500",2,3,2,1,3,1,5,3,1,3,3,3,1,3,"It isn't relevant to my ability as a programmer.",2,"It isn't relevant to my ability as a programmer.",3,4,1,"Yes",34,"Male","United States of America"
